year,team,conference,sp_defense,sos_z,sos_score
2019,Colorado State,Mountain West,78,0.3379103469594103,53.3791034695941
2019,Fresno State,Mountain West,98,0.8690874340781934,58.69087434078193
2019,Colorado,Big 12,105,1.0549994145697676,60.549994145697674
2019,Houston,Big 12,110,1.1877936863494634,61.87793686349463
2019,Utah State,Mountain West,81,0.4175869100272278,54.17586910027228
2019,Troy,Sun Belt,110,1.1877936863494634,61.87793686349463
2019,Central Michigan,Mid-American,71,0.15199836646783624,51.519983664678364
2019,Ball State,Mid-American,91,0.6831754535866194,56.831754535866196
2019,Georgia Southern,Sun Belt,61,-0.11359017709155532,48.86409822908445
2019,Stanford,ACC,87,0.5769400361628627,55.76940036162863
2019,Southern Miss,Sun Belt,64,-0.033913614023737854,49.66086385976262
2019,Western Michigan,Mid-American,89,0.6300577448747411,56.30057744874741
2019,Northwestern,Big Ten,27,-1.0165912251934865,39.83408774806513
2019,Boston College,ACC,110,1.1877936863494634,61.87793686349463
2019,North Texas,American Athletic,91,0.6831754535866194,56.831754535866196
2019,NC State,ACC,76,0.28479263824753204,52.84792638247532
2019,Charlotte,American Athletic,107,1.1081171232816458,61.08117123281646
2019,Maryland,Big Ten,79,0.3644692013153495,53.644692013153495
2019,West Virginia,Big 12,72,0.1785572208237754,51.78557220823775
2019,Florida International,Conference USA,73,0.20511607517971456,52.05116075179715
2019,San José State,Mountain West,116,1.3471468124850983,63.471468124850986
2019,Arizona,Big 12,114,1.29402910377322,62.940291037732194
2019,Eastern Michigan,Mid-American,118,1.4002645211969766,64.00264521196976
2019,Miami (OH),Mid-American,77,0.31135149260347117,53.11351492603471
2019,South Florida,American Athletic,61,-0.11359017709155532,48.86409822908445
2019,Kansas,Big 12,106,1.0815582689257066,60.81558268925707
2019,Kent State,Mid-American,119,1.4268233755529158,64.26823375552915
2019,Vanderbilt,SEC,98,0.8690874340781934,58.69087434078193
2019,Georgia State,Sun Belt,121,1.479941084264794,64.79941084264794
2019,Arkansas,SEC,88,0.6034988905188019,56.034988905188015
2019,UL Monroe,Sun Belt,127,1.6392942104004289,66.39294210400429
2019,Middle Tennessee,Conference USA,117,1.3737056668410375,63.737056668410375
2019,Georgia Tech,ACC,70,0.12543951211189708,51.25439512111897
2019,Nevada,Mountain West,85,0.5238223274509844,55.23822327450984
2019,Coastal Carolina,Sun Belt,108,1.134675977637585,61.34675977637585
2019,Toledo,Mid-American,121,1.479941084264794,64.79941084264794
2019,Northern Illinois,Mid-American,102,0.9753228515019501,59.7532285150195
2019,East Carolina,American Athletic,120,1.4533822299088548,64.53382229908854
