Rank,Player (Team / Bye),POS,AVG
41,Tetairoa McMillan   CAR (5),WR18,42.0
42,Lamar Jackson   BAL (13),QB2,42.7
43,Garrett Wilson   NYJ (13),WR19,43.0
44,Ladd McConkey   LAC (7),WR20,43.7
45,Luther Burden III   CHI (10),WR21,46.0
46,DJ Moore   BUF (7),WR22,48.0
47,Quinshon Judkins   CLE (11),RB20,49.0
48,David Montgomery   HOU (8),RB21,50.0
49,Joe Burrow   CIN (6),QB3,50.7
50,Tyler Warren   IND (13),TE4,51.3
51,Terry McLaurin   WAS (7),WR23,53.0
52,Jaylen Waddle   DEN (10),WR24,53.7
53,TreVeyon Henderson   NE (11),RB22,54.0
54,D'Andre Swift   CHI (10),RB23,54.0
55,Davante Adams   LAR (11),WR25,54.3
56,Mike Evans   SF (8),WR26,54.7
57,Drake Maye   NE (11),QB4,55.0
58,Jameson Williams   DET (6),WR27,55.3
59,Bucky Irving   TB (10),RB24,55.7
60,Bhayshul Tuten   JAC (7),RB25,58.3
61,Jayden Daniels   WAS (7),QB5,59.3
62,Jadarian Price   SEA (11),RB26,61.3
63,Rome Odunze   CHI (10),WR28,63.3
64,Christian Watson   GB (11),WR29,65.3
65,Jalen Hurts   PHI (10),QB6,66.7
66,Caleb Williams   CHI (10),QB7,67.3
67,Brian Thomas Jr.   JAC (7),WR30,68.0
68,Carnell Tate   TEN (9),WR31,72.0
69,Tucker Kraft   GB (11),TE5,73.3
70,Dak Prescott   DAL (14),QB8,73.3
71,Chuba Hubbard   CAR (5),RB27,75.0
72,Marvin Harrison Jr.   ARI (14),WR32,75.7
73,Harold Fannin Jr.   CLE (11),TE6,76.0
74,Rhamondre Stevenson   NE (11),RB28,76.7
75,Jaylen Warren   PIT (9),RB29,77.0
76,Tony Pollard   TEN (9),RB30,77.3
77,Kyle Pitts Sr.   ATL (11),TE7,78.0
78,Parker Washington   JAC (7),WR33,79.3
79,Jordyn Tyson   NO (8),WR34,79.7
80,Trevor Lawrence   JAC (7),QB9,80.3
81,RJ Harvey   DEN (10),RB31,81.0
82,Sam LaPorta   DET (6),TE8,82.3
83,Justin Herbert   LAC (7),QB10,83.0
84,Rico Dowdle   PIT (9),RB32,84.7
85,Alec Pierce   IND (13),WR35,84.7
86,DK Metcalf   PIT (9),WR36,85.0
87,Courtland Sutton   DEN (10),WR37,85.3
88,Michael Wilson   ARI (14),WR38,88.3
89,Matthew Stafford   LAR (11),QB11,90.3
90,Kyle Monangai   CHI (10),RB33,90.3
91,Jaxson Dart   NYG (8),QB12,90.3
92,Chris Godwin Jr.   TB (10),WR39,92.7
93,Makai Lemon   PHI (10),WR40,93.7
94,Patrick Mahomes II   KC (5),QB13,93.7
95,Quentin Johnston   LAC (7),WR41,96.3
96,George Kittle   SF (8),TE9,97.0
97,J.K. Dobbins   DEN (10),RB34,97.7
98,Blake Corum   LAR (11),RB35,98.7
99,Brock Purdy   SF (8),QB14,99.3
100,Jayden Reed   GB (11),WR42,103.0
101,Kenny Gainwell   TB (10),RB36,103.3
102,Jared Goff   DET (6),QB15,103.7
103,Jonathon Brooks   CAR (5),RB37,104.3
104,Isaiah Likely   NYG (8),TE10,104.7
105,Bo Nix   DEN (10),QB16,104.7
106,Michael Pittman Jr.   PIT (9),WR43,104.7
107,Jordan Addison   MIN (6),WR44,105.0
108,Travis Kelce   KC (5),TE11,105.3
109,Wan'Dale Robinson   TEN (9),WR45,106.0
110,Jakobi Meyers   JAC (7),WR46,106.7
111,Josh Downs   IND (13),WR47,107.7
112,Ricky Pearsall   SF (8),WR48,108.3
113,Rachaad White   WAS (7),RB38,109.7
114,Dalton Kincaid   BUF (7),TE12,110.7
115,Xavier Worthy   KC (5),WR49,112.7
116,Jake Ferguson   DAL (14),TE13,114.0
117,Kyler Murray   MIN (6),QB17,114.3
118,Dallas Goedert   PHI (10),TE14,115.3
119,Jordan Mason   MIN (6),RB39,116.7
120,Jordan Love   GB (11),QB18,119.0
121,Aaron Jones Sr.   MIN (6),RB40,119.0
122,Mark Andrews   BAL (13),TE15,119.3
123,Tyler Shough   NO (8),QB19,120.0
124,Baker Mayfield   TB (10),QB20,120.7
125,Matthew Golden   GB (11),WR50,121.0
126,Jacory Croskey-Merritt   WAS (7),RB41,121.3
127,Romeo Doubs   NE (11),WR51,124.0
128,KC Concepcion   CLE (11),WR52,126.7
129,Tyrone Tracy Jr.   NYG (8),RB42,132.0
130,Malik Willis   MIA (6),QB21,132.3
131,Khalil Shakir   BUF (7),WR53,132.7
132,Chris Rodriguez Jr.   JAC (7),RB43,133.7
133,Jayden Higgins   HOU (8),WR54,134.7
134,Sam Darnold   SEA (11),QB22,135.7
135,Rashid Shaheed   SEA (11),WR55,138.3
136,Jalen Coker   CAR (5),WR56,138.7
137,Chig Okonkwo   WAS (7),TE16,139.7
138,Woody Marks   HOU (8),RB44,140.3
139,Brenton Strange   JAC (7),TE17,141.0
140,Juwan Johnson   NO (8),TE18,142.0
141,C.J. Stroud   HOU (8),QB23,142.3
142,Oronde Gadsden II   LAC (7),TE19,143.3
143,Stefon Diggs,WR57,144.0
144,Hunter Henry   NE (11),TE20,144.3
145,Cam Ward   TEN (9),QB24,144.3
146,Isiah Pacheco   DET (6),RB45,145.0
147,Zach Charbonnet   SEA (11),RB46,146.3
148,Keaton Mitchell   LAC (7),RB47,147.0
149,Kenyon Sadiq   NYJ (13),TE21,148.7
150,Daniel Jones   IND (13),QB25,149.3
151,Tyjae Spears   TEN (9),RB48,152.7
